[0156] ERROR discovered vulnerabilities at or above the severity threshold
NAME                           INSTALLED         FIXED IN          TYPE          VULNERABILITY        SEVERITY  EPSS           RISK
snappy-java                    1.1.7.6           1.1.10.1          java-archive  GHSA-qcwq-55hx-v3vh  High      1.8% (75th)    1.3
commons-lang3                  3.10              3.18.0            java-archive  GHSA-j288-q9x7-2f5v  Medium    2.2% (80th)    1.2
commons-lang3                  3.17.0            3.18.0            java-archive  GHSA-j288-q9x7-2f5v  Medium    2.2% (80th)    1.2
protobuf-java                  3.11.0            3.16.1            java-archive  GHSA-wrvw-hg22-4m67  High      1.7% (74th)    1.2
http2-common                   9.4.44.v20210927  9.4.58            java-archive  GHSA-mmxm-8w33-wc4h  High      1.6% (73rd)    1.2
http2-common                   9.4.53.v20231009  9.4.58            java-archive  GHSA-mmxm-8w33-wc4h  High      1.6% (73rd)    1.2
netty-codec-smtp               4.1.108.Final     4.1.128.Final     java-archive  GHSA-jq43-27x9-3v86  High      1.6% (73rd)    1.2
netty-codec-smtp               4.1.124.Final     4.1.128.Final     java-archive  GHSA-jq43-27x9-3v86  High      1.6% (73rd)    1.2
commons-configuration2         2.1.1             2.10.1            java-archive  GHSA-xjp4-hw94-mvp5  Medium    2.1% (79th)    1.2
commons-configuration2         2.8.0             2.10.1            java-archive  GHSA-xjp4-hw94-mvp5  Medium    2.1% (79th)    1.2
tomcat-embed-core              9.0.113           9.0.118           java-archive  GHSA-h6fc-48rj-7qqh  Critical  1.2% (66th)    1.2
http2-common                   9.4.44.v20210927  9.4.54            java-archive  GHSA-rggv-cv7r-mw98  High      1.4% (70th)    1.1
tomcat-embed-core              9.0.113           9.0.118           java-archive  GHSA-5m62-pw8w-7w9f  Critical  1.1% (63rd)    1.0
ant                            1.8.2             1.9.15            java-archive  GHSA-4p6w-m9wc-c9c9  Medium    1.8% (76th)    1.0
commons-configuration2         2.1.1             2.10.1            java-archive  GHSA-9w38-p64v-xpmv  Medium    1.7% (75th)    1.0
commons-configuration2         2.8.0             2.10.1            java-archive  GHSA-9w38-p64v-xpmv  Medium    1.7% (75th)    1.0
tika-core                      1.27              1.28.3            java-archive  GHSA-qw3f-w4pf-jh5f  Medium    1.9% (77th)    1.0
commons-io                     2.8.0             2.14.0            java-archive  GHSA-78wr-2p64-hpwj  High      1.2% (66th)    1.0
zookeeper                      3.9.2             3.9.5             java-archive  GHSA-crhr-qqj8-rpxc  High      1.2% (64th)    1.0
solr-solrj                     8.11.2            8.11.3            java-archive  GHSA-xrj7-x7gp-wwqr  Medium    1.6% (72nd)    0.9
snappy-java                    1.1.7.6           1.1.10.1          java-archive  GHSA-pqr6-cmr2-h8hf  Medium    1.7% (75th)    0.9
netty-codec-http2              4.1.108.Final     4.1.132.Final     java-archive  GHSA-w9fj-cfpg-grvv  High      1.1% (63rd)    0.9
netty-codec-http2              4.1.124.Final     4.1.132.Final     java-archive  GHSA-w9fj-cfpg-grvv  High      1.1% (63rd)    0.9
solr-core                      8.11.2            8.11.3            java-archive  GHSA-4wxw-42wx-2wfx  Low       3.0% (86th)    0.9
solr-core                      8.11.2            9.8.0             java-archive  GHSA-68r2-fwcg-qpm8  High      1.2% (63rd)    0.8
netty-codec-http2              4.1.108.Final     4.1.124.Final     java-archive  GHSA-prj3-ccx8-p6x4  High      1.0% (60th)    0.8
snappy-java                    1.1.7.6           1.1.10.1          java-archive  GHSA-fjpj-2g6w-x25r  Medium    1.5% (71st)    0.8
poi-scratchpad                 4.1.2             5.2.1             java-archive  GHSA-mqvp-7rrg-9jxc  Medium    1.5% (72nd)    0.8
